ibge_code,year,start_week,peak_week,end_week,duration,total_duration,peak_value
110001,2023,2,3,7,2,6,7
110003,2023,8,10,13,3,6,3
110007,2023,4,6,10,3,7,3
110008,2023,9,9,17,1,9,5
110009,2024,10,11,15,2,6,11
110010,2023,1,7,7,7,7,34
110011,2023,1,3,5,3,5,45
110012,2023,1,6,10,6,10,12
110018,2023,1,10,12,10,12,137
110028,2023,1,11,15,11,15,22
110029,2023,1,1,5,1,5,10
110030,2023,1,2,11,2,11,52
110033,2023,2,2,11,1,10,15
110034,2023,1,2,7,2,7,5
110050,2024,9,11,15,3,7,11
110060,2023,1,5,11,5,11,2
110080,2024,8,10,13,3,6,9
110080,2024,16,16,21,1,6,5
110092,2023,4,7,11,4,8,17
110092,2023,13,14,22,2,10,12
110094,2023,5,7,19,3,15,1
110094,2024,7,11,12,5,6,5
110110,2023,1,2,13,2,13,7
110130,2023,1,9,9,9,9,4
110145,2024,10,14,17,5,8,1
110146,2023,1,8,9,8,9,2
110146,2024,14,15,19,2,6,5
110147,2023,34,39,43,6,10,11
110160,2023,1,2,7,2,7,4
110175,2023,1,5,5,5,5,1
110175,2024,7,9,12,3,6,8
110180,2023,12,12,17,1,6,1
120005,2023,2,7,14,6,13,12
120005,2023,52,52,52,1,1,4
120005,2024,1,4,5,4,5,21
120010,2023,3,5,11,3,9,7
120010,2023,48,51,52,4,5,25
120010,2024,1,4,5,4,5,115
120013,2023,4,4,10,1,7,24
120017,2023,45,49,51,5,7,129
120025,2023,8,15,18,8,11,23
120025,2023,51,51,52,1,2,13
120025,2024,1,3,6,3,6,39
130002,2023,41,48,52,8,12,37
130002,2024,1,1,1,1,1,53
130090,2024,5,8,10,4,6,45
130120,2024,2,2,9,1,8,27
130130,2024,4,11,14,8,11,29
130150,2024,3,8,12,6,10,32
130170,2023,2,3,9,2,8,56
130180,2023,1,2,9,2,9,16
130210,2023,42,48,52,7,11,52
130210,2024,3,3,10,1,8,26
130230,2023,2,9,9,8,8,42
130230,2023,14,14,31,1,18,15
130230,2024,6,10,12,5,7,27
130230,2024,15,15,21,1,7,31
130240,2023,42,52,52,11,11,21
130240,2024,1,2,9,2,9,34
130420,2023,9,15,22,7,14,39
130423,2023,1,6,11,6,11,23
130423,2024,10,12,17,3,8,34
140015,2023,32,34,39,3,8,2
140047,2024,21,21,27,1,7,13
150030,2023,1,3,10,3,10,5
150030,2024,10,15,20,6,11,10
150060,2024,8,14,21,7,14,36
